Country				WikiData Id												
Austria				Q40	
Belgium				Q31
Bulgaria				Q219
Croatia				Q224
Republic of Cyprus		Q229
Czech Republic			Q213
Denmark				Q35
Estonia				Q191
Finland				Q33
France				Q142
Germany				Q183
Greece				Q41
Hungary				Q28		
Ireland				Q22890
Italy					Q38
Latvia				Q211
Lithiania				Q37
Luxembourg				Q32
Malta					Q233
Netherlands				Q55
Poland				Q36
Portgual				Q45
Romania				Q218
Slovakia				Q214
Slovenia				Q215
Spain					Q29
Sweden				Q34
Iceland				Q189
Liechtenstein			Q347
Norway				Q20
United Kingdom			Q145
